,Product_id,manufacturer,Device Type,Status,Warranty_id,Warranty_price,org_price,last_month_price,Color,Weight,Processor Manufacturer,Processor Series,Processor Model,Processor Cache Memory,RAM Memory,Screen Size,Screen Type,Optical Drive,RAM Type,Internal Memory Type,Operating System,Graphics Card Manufacturer,Graphics Card Model,Battery Cell Count
0,9610109,ایسوس,لپ تاپ,out_of_stock,,,,0,,1.35,Intel,Celeron,N4020,4,4,14.0,,بدون درایو نوری,DDR4,SSD,Microsoft Windows 11,Intel,IntelUHDGraphics,سه سلولی
1,10822708,ایسوس,لپ تاپ,out_of_stock,,,,0,,1.3,AMD,Ryzen7,6800HS,20,32,13.4,IPS level panel,بدون درایو نوری,LPDDR5,SSD,بدون سیستم عامل,NVIDIA,GeForceRTX3050Ti,
2,11412890,لنوو,لپ تاپ,out_of_stock,,,,0,,1.65,Intel,Corei5,1155G7,8,16,15.6,TN,بدون درایو نوری,DDR4,هیبریدی,بدون سیستم عامل,Intel,IrisXe,
3,11283249,ایسوس,لپ تاپ,out_of_stock,,,,0,,2.6,AMD,Ryzen7,6800H,16,32,17.3,IPS level panel,بدون درایو نوری,DDR5,SSD,بدون سیستم عامل,NVIDIA,GeForceRTX3050,
4,11086891,ایسوس,لپ تاپ,out_of_stock,,,,0,,1.7,Intel,Corei5,1235U,12,24,15.6,,بدون درایو نوری,DDR4,هیبریدی,Microsoft Windows 11,Intel,IrisXe,لیتیوم-یونی
5,11349156,ایسوس,لپ تاپ,out_of_stock,,,,0,,1.7,Intel,Corei7,1255U,12,32,15.6,IPS level panel,بدون درایو نوری,DDR4,SSD,بدون سیستم عامل,Intel,IrisXe,لیتیوم-یونی
6,11710082,اچ‌ پی,لپ تاپ,out_of_stock,,,,0,,2.2,Intel,Corei5,12500H,18,8,15.6,IPS level panel,بدون درایو نوری,DDR4,SSD,بدون سیستم عامل,NVIDIA,GeForceRTX1650,
7,9055953,ام اس آی,لپ تاپ,out_of_stock,,,,0,,1.8,Intel,Corei7,Alder Lake 1280P,24,16,15.6,IPS level panel,بدون درایو نوری,DDR4,SSD,بدون سیستم عامل,NVIDIA,GeForceRTX3060GDDR6,سه سلولی
8,11087691,ایسوس,لپ تاپ,out_of_stock,,,,0,,1.7,Intel,Corei5,1235U,12,24,15.6,,بدون درایو نوری,DDR4,SSD,Microsoft Windows 11,Intel,IrisXe,لیتیوم-یونی
9,12922713,ایسوس,لپ تاپ,out_of_stock,,,,0,,1.8,Intel,Corei7,1165G7,12,16,15.6,TFT LED-backlit LCD,بدون درایو نوری,DDR4,SSD,بدون سیستم عامل,NVIDIA,GeForceMX330,
10,11513847,ایسوس,لپ تاپ,out_of_stock,,,,0,,1.7,Intel,Corei3,1115G4,6,12,15.6,WV,بدون درایو نوری,DDR4,SSD,Microsoft Windows 11,Intel,UHD,لیتیوم-یونی
11,12562552,لنوو,لپ تاپ,out_of_stock,,,,0,,1.7,Intel,Corei3,1115G4,6,64,15.6,TN,بدون درایو نوری,DDR4,SSD,بدون سیستم عامل,Intel,UHDGraphics,
12,11514060,ایسوس,لپ تاپ,out_of_stock,,,,0,,1.7,Intel,Corei3,1115G4,6,12,15.6,WV,بدون درایو نوری,DDR4,SSD,Microsoft Windows 11,Intel,UHD,لیتیوم-یونی
13,10498259,لنوو,لپ تاپ,out_of_stock,,,,0,,2.3,Intel,Corei7,12650H,24,16,15.6,IPS level panel,بدون درایو نوری,DDR4,SSD,بدون سیستم عامل,NVIDIA,GeForceRTX3050TI,
14,11514161,ایسوس,لپ تاپ,out_of_stock,,,,0,,1.7,Intel,Corei3,1115G4,6,16,15.6,WV,بدون درایو نوری,DDR4,SSD,Microsoft Windows 11,Intel,UHD,لیتیوم-یونی
15,12661127,ایسوس,لپ تاپ,out_of_stock,,,,0,,1.7,AMD,Ryzen5,5600H,16,24,15.6,IPS level panel,بدون درایو نوری,DDR4,SSD,بدون سیستم عامل,AMD,RadeonGraphics,
16,11547130,دل,لپ تاپ,out_of_stock,,,,0,,1.7,AMD,Ryzen7,3700U,4,32,15.6,TN,بدون درایو نوری,DDR4,هیبریدی,بدون سیستم عامل,AMD,RadeonRXVega10,لیتیوم پلیمری
17,10793559,ایسوس,لپ تاپ,out_of_stock,,,,0,,1.8,Intel,Corei5,10210U,6,8,14.0,TFT LCD,DVD-RW,DDR4,SSD,بدون سیستم عامل,Intel,UHDGraphics,لیتیوم-یونی
18,9712336,ایسوس,لپ تاپ,out_of_stock,,,,0,,1.57,Intel,Celeron,N4020,4,4,15.6,,بدون درایو نوری,DDR4,SSD,بدون سیستم عامل,Intel,UHDGraphics600,لیتیوم پلیمری
19,11580319,دل,لپ تاپ,out_of_stock,,,,0,,1.7,AMD,Ryzen7,3700U,4,8,15.6,TN,بدون درایو نوری,DDR4,SSD,بدون سیستم عامل,AMD,RadeonRXVega10,لیتیوم پلیمری
20,521134,دل,لپ تاپ,out_of_stock,,,,0,,1.5,Intel,Corei3,6006U,سه,4,14.0,TFT LED-backlit LCD,DVD-RW,DDR4,هارددیسک,بدون سیستم عامل,AMD,R5M430,سه سلولی
21,575888,لنوو,لپ تاپ,out_of_stock,,,,0,,2.2,Intel,Corei5,8250U,6,4,15.6,TFT LED-backlit LCD,DVD-RW,DDR4,هارددیسک,,AMD,Radeon530GDDR5,دو سلولی
22,576050,لنوو,لپ تاپ,out_of_stock,,,,0,,2.2,Intel,Corei5,8250U,6,8,15.6,TFT LED-backlit LCD,DVD-RW,DDR4,هارددیسک,,AMD,Radeon530GDDR5,دو سلولی
23,576106,لنوو,لپ تاپ,out_of_stock,,,,0,,2.1,Intel,Corei5,7200U,سه,4,15.6,TFT LED-backlit LCD,DVD-RW,DDR4,هارددیسک,,AMD,Radeon™R5M430,چهار سلولی
