,Product_id,manufacturer,Device Type,Status,Warranty_name,Warranty_price,org_price,last_month_price,Color,Weight,Processor Manufacturer,Processor Series,Processor Model,Processor Cache Memory,RAM Memory,Screen Size,Screen Type,Optical Drive,RAM Type,Internal Memory Type,Operating System,Graphics Card Manufacturer,Graphics Card Model,Battery Cell Count
0,12561512,ایسوس,TUF,marketable,یکپارچه (سازگار، حامی(ویستا) و آواژنگ),13352500.0,612500000.0,589232900,خاکستری,2.2,AMD,Ryzen7,7735HS,20,16,15.6,IPS level panel,بدون درایو نوری,DDR5,SSD,بدون سیستم عامل,NVIDIA,GeForceRTX4050,لیتیوم-یونی
1,11675167,ایسوس,Creator,marketable,ویستا سرویس,16524400.0,758000000.0,691000000,مشکی,1.8,Intel,Corei9,13900H,24,16,15.6,OLED,بدون درایو نوری,DDR5,SSD,Microsoft Windows 11,NVIDIA,GeForceRTX3050,لیتیوم پلیمری
2,10832196,لنوو,Thinkbook,marketable,سریر,3989400.0,182900000.0,0,خاکستری,1.7,Intel,Corei3,1115G4,6,8,15.6,TN,بدون درایو نوری,DDR4,SSD,بدون سیستم عامل,,UHDGraphics,لیتیوم-یونی
3,10832220,لنوو,Thinkbook,marketable,دیبا کام پردازش سدرا,3629700.0,166500000.0,163200000,خاکستری,1.7,Intel,Corei3,1115G4,6,8,15.6,TN,بدون درایو نوری,DDR4,SSD,بدون سیستم عامل,,UHDGraphics,لیتیوم-یونی
4,11039229,ایسوس,Vivobook,marketable,آرتین تجارت آریا تدبیر,7619100.0,349500000.0,0,نقره ای,1.8,Intel,Corei7,1065G7,8,8,15.6,TFT LCD,بدون درایو نوری,DDR4,SSD,بدون سیستم عامل,NVIDIA,GeForceMX330,
5,11029127,لنوو,IdeaPad,marketable,آبان دیجی (آبان همراه تجارت),7117700.0,324000000.0,289000000,خاکستری,1.66,Intel,Corei7,1165G7,12,8,15.6,TN,بدون درایو نوری,DDR4,SSD,بدون سیستم عامل,NVIDIA,GeForceMX450,لیتیوم پلیمری
6,10982302,ایسوس,Vivobook,marketable,آرتین تجارت آریا تدبیر,6867000.0,289800000.0,0,خاکستری,1.7,Intel,Corei5,1035G1,8,12,15.6,IPS level panel,بدون درایو نوری,DDR4,SSD,Microsoft Windows 10,Intel,UHDGraphics,لیتیوم-یونی
7,10982385,ایسوس,Vivobook,marketable,آرتین تجارت آریا تدبیر,6387400.0,272490000.0,255500000,خاکستری,1.7,Intel,Corei5,1035G1,8,12,15.6,IPS level panel,بدون درایو نوری,DDR4,SSD,Microsoft Windows 10,Intel,UHDGraphics,لیتیوم-یونی
8,11078677,ایسوس,,marketable,ویستا سرویس,4469000.0,205000000.0,153750000,سرمه ای تیره,1.9,Intel,Corei3,6006U,سه,4,15.6,TFT LCD,DVD-RW,DDR4,هارددیسک,Microsoft Windows 10,Intel,HDGraphics520,
9,11078993,ایسوس,,marketable,ویستا سرویس,5014000.0,172500000.0,172500000,سرمه ای تیره,1.9,Intel,Corei3,6006U,سه,4,15.6,TFT LCD,DVD-RW,DDR4,SSD,Microsoft Windows 10,Intel,HDGraphics520,
10,11079104,ایسوس,,marketable,ویستا سرویس,4578000.0,168000000.0,0,سرمه ای تیره,1.9,Intel,Corei3,6006U,سه,4,15.6,TFT LCD,DVD-RW,DDR4,SSD,Microsoft Windows 10,Intel,HDGraphics520,
11,12529766,اپل,MacBook,marketable,آروند,16306400.0,749900000.0,734900000,بژ,1.51,Apple,M2,M2 8-Cores,20,8,15.3,IPS level panel,بدون درایو نوری,Unified,SSD,Apple Mac OS,Apple,Integrated10Cores,لیتیوم پلیمری
12,13130472,ایسوس,Vivobook,marketable,آبان دیجی (آبان همراه تجارت),6758000.0,319990000.0,0,نقره ای,1.7,Intel,Corei5,1335U,12,16,15.6,IPS level panel,بدون درایو نوری,DDR4,SSD,بدون سیستم عامل,Intel,IrisXe,لیتیوم-یونی
13,13130375,ایسوس,Vivobook,marketable,آرتین تجارت آریا تدبیر,7804400.0,358000000.0,0,نقره ای,1.7,Intel,Corei5,1335U,12,8,15.6,IPS level panel,بدون درایو نوری,DDR4,SSD,بدون سیستم عامل,Intel,IrisXe,لیتیوم-یونی
14,13130443,ایسوس,Vivobook,marketable,آرتین تجارت آریا تدبیر,8022400.0,368000000.0,0,نقره ای,1.7,Intel,Corei5,1335U,12,12,15.6,IPS level panel,بدون درایو نوری,DDR4,SSD,بدون سیستم عامل,Intel,IrisXe,لیتیوم-یونی
15,13130490,ایسوس,Vivobook,marketable,آرتین تجارت آریا تدبیر,8022400.0,368000000.0,0,نقره ای,1.7,Intel,Corei5,1335U,12,16,15.6,IPS level panel,بدون درایو نوری,DDR4,SSD,بدون سیستم عامل,Intel,IrisXe,لیتیوم-یونی
16,13130503,ایسوس,Vivobook,marketable,آرتین تجارت آریا تدبیر,7848000.0,360000000.0,0,نقره ای,1.7,Intel,Corei5,1335U,12,24,15.6,IPS level panel,بدون درایو نوری,DDR4,SSD,بدون سیستم عامل,Intel,IrisXe,لیتیوم-یونی
17,13130545,ایسوس,Vivobook,marketable,آرتین تجارت آریا تدبیر,8240400.0,378000000.0,0,نقره ای,1.7,Intel,Corei5,1335U,12,24,15.6,IPS level panel,بدون درایو نوری,DDR4,SSD,بدون سیستم عامل,Intel,IrisXe,لیتیوم-یونی
18,13131007,دل,D,marketable,کندل ایران,10573000.0,484990000.0,0,طوسی روشن,2.5,AMD,Ryzen5,6600H,16,8,15.0,WVA,بدون درایو نوری,DDR5,SSD,Microsoft Windows 11,NVIDIA,GEFORCENVIDIARTX3050,
19,13130073,ایسوس,ROG,marketable,یکپارچه (سازگار، حامی(ویستا) و آواژنگ),14649600.0,671990000.0,0,مشکی,1.9,AMD,Ryzen7,6800HS,16,16,15.6,,بدون درایو نوری,DDR5,SSD,بدون سیستم عامل,NVIDIA,GeForceRTX3070Ti,چهار سلولی
20,11197181,لنوو,IdeaPad,marketable,آرتین تجارت آریا تدبیر,7673600.0,352000000.0,321300000,خاکستری,1.65,Intel,Corei7,1165G7,12,20,15.6,TN,بدون درایو نوری,DDR4,هیبریدی,بدون سیستم عامل,NVIDIA,GeForceMX450,
21,12956264,ایسر,Aspire,marketable,اندیشه ماندگار اطلس,8785400.0,413990000.0,0,مشکی,2.1,Intel,Corei5,12450H,12,16,15.6,IPS level panel,بدون درایو نوری,DDR4,SSD,Microsoft Windows 11,NVIDIA,GeForceRTX3050,لیتیوم-یونی
22,13093919,ایسوس,ExpertBook,marketable,رایانه پایتخت ویرا,8066000.0,388890000.0,370000000,مشکی,1.6,Intel,Corei7,1260P,18,32,14.0,IPS level panel,,DDR4,هیبریدی,Microsoft Windows 11,Intel,IrisXe,لیتیوم-یونی
23,13096151,ایسوس,ROG,marketable,یکپارچه (سازگار، حامی(ویستا) و آواژنگ),17200200.0,788880000.0,0,مشکی,2.9,AMD,Ryzen9,7845HX,64,16,17.3,,بدون درایو نوری,DDR5,SSD,بدون سیستم عامل,NVIDIA,GeForceRTX3070Ti,
24,12129186,ایسوس,Vivobook,marketable,آرتین تجارت آریا تدبیر,4403600.0,211500000.0,197666000,سرمه ای,1.7,Intel,Corei3,1215U,10,8,15.6,IPS level panel,بدون درایو نوری,DDR4,SSD,Microsoft Windows 11,Intel,UHDGraphics,
25,11341534,ایسوس,,marketable,آرتین تجارت آریا تدبیر,4578000.0,209600000.0,0,نقره ای,1.8,Intel,Corei3,1115G4,6,8,15.6,TN,بدون درایو نوری,DDR4,هیبریدی,بدون سیستم عامل,Intel,UHDGraphics,
26,11510102,ایسوس,TUF,marketable,آرتین تجارت آریا تدبیر,9254100.0,424300000.0,384200000,مشکی,2.2,Intel,Corei5,11400H,12,40,15.6,IPS level panel,بدون درایو نوری,DDR4,SSD,بدون سیستم عامل,NVIDIA,GeForceRTX2050,لیتیوم-یونی
27,9674062,اچ‌ پی,Spectre,marketable,نوآور همراه,18835200.0,881800000.0,0,نوک مدادی,2.0,Intel,Corei7,1260P,18,16,16.0,OLED,بدون درایو نوری,DDR4,SSD,Microsoft Windows 11,Intel,ArcA370MGraphics,شش سلولی
28,9886528,لنوو,IdeaPad,marketable,پیکسل,3553400.0,162900000.0,155500000,خاکستری,1.65,Intel,Corei3,1115G4,6,4,15.6,TN,بدون درایو نوری,DDR4,هیبریدی,بدون سیستم عامل,Intel,UHDGraphics,لیتیوم پلیمری
29,9821598,لنوو,,marketable,ایرانیان رهجو گستر,3749600.0,171900000.0,0,مشکی,1.7,Intel,Corei3,1115G4,6,4,15.6,TN,بدون درایو نوری,DDR4,هیبریدی,بدون سیستم عامل,Intel,UHDGraphics,
30,12995721,ایسوس,,marketable,آرتین تجارت آریا تدبیر,3902200.0,186600000.0,170000000,نقره ای,1.8,Intel,Corei3,1115G4,6,16,15.6,TN,بدون درایو نوری,DDR4,SSD,بدون سیستم عامل,Intel,UHDGraphics,
31,11624265,ایسوس,TUF,marketable,آرتین تجارت آریا تدبیر,8938000.0,400000000.0,396400000,مشکی,2.2,Intel,Corei5,11400H,12,12,15.6,IPS level panel,بدون درایو نوری,DDR4,SSD,بدون سیستم عامل,NVIDIA,GeForceRTX2050,لیتیوم-یونی
32,9948295,ایسوس,TUF,marketable,خدماتی و تجاری مهر سرمستان,9875400.0,453000000.0,433000000,مشکی,2.3,Intel,Corei5,11400H,12,16,15.6,IPS level panel,بدون درایو نوری,DDR4,SSD,بدون سیستم عامل,NVIDIA,GEFORCERTX3050TIGDDR6,سه سلولی
33,10127032,لنوو,IdeaPad,marketable,هوشمند سرویس فرتاک (همتا سرویس فرتاک),3924000.0,180000000.0,170000000,خاکستری,1.65,AMD,Ryzen3,5300U,4,4,15.6,TN,بدون درایو نوری,DDR4,هارددیسک,بدون سیستم عامل,AMD,RadeonRXVega6,
