,Processor Manufacturer,Processor Series,Processor Model,RAM Type,RAM Memory,Internal Memory Type SSD,Internal Memory Type HDD,Graphics Card Manufacturer,Dedicated Graphics Memory,Graphics Card Model,manufacturer,org_price,store,Screen Type,Screen Size,Screen_resolution_width,Screen_resolution_height,predict
0,AMD,Ryzen7,5800H,DDR4,16,0,0,Nvidia,4,"GeForceRTX3050Ti,4GBGDDR6",hp,49900000,digikala,IPS,15.6,1080,1920,50486492.40612741
1,Intel,Corei3,1115G4,DDR4,8,0,0,Intel,4,UHDGraphics,asus,18100000,digikala,TN,15.6,1080,1920,18126824.17377797
2,Intel,Corei3,I3 1115G4,DDR4,4,0,1024,Nvidia,2,NVIDIA Geforce MX350 GDDR5,lenovo,18670000,meghdad,full hd,15.6,1080,1920,19395433.333333332
3,Intel,Corei7,11800H,DDR4,32,0,0,Nvidia,4,GeForceRTX3060,lenovo,64000000,digikala,IPS,15.6,1080,1920,52332116.9761656
4,Intel,Corei3,I3 1115G4,DDR4,4,0,1024,Intel,4,UHD,lenovo,14890000,meghdad,full hd,15.6,1080,1920,15985619.943313992
5,AMD,Ryzen7,6800H,DDR5,16,0,0,Nvidia,4,GeForceRTX3060GDDR6,asus,64000000,digikala,IPS,15.6,1080,1920,59559945.05952381
6,Intel,Corei3,1215U,DDR4,12,0,0,Intel,4,UHD,lenovo,17150000,digikala,TN,15.6,1080,1920,18454830.085616138
7,Intel,Corei3,1115G4,DDR4,8,0,0,Intel,4,UHDGraphics,asus,21794800,digikala,IPS,15.6,1080,1920,22349387.08333333
8,Intel,Corei5,1235U,DDR4,16,512,0,Intel,4,INTEL IRIS,lenovo,25000000,meghdad,full hd,15.6,1080,1920,28434876.730158724
9,Intel,Corei3,1215U,DDR4,4,256,0,Intel,4,UHD,lenovo,15180000,meghdad,full hd,15.6,1080,1920,16002535.197282245
10,Intel,Corei7,1065 G7,DDR4,32,512,0,Nvidia,6,GTX 1660 Ti,microsoft,88300000,meghdad,PixelSense,15.0,2160,3840,91028532.08333331
11,Intel,Corei7,1255U,DDR4,12,0,0,Nvidia,4,GeForceMX570,dell,71999000,digikala,OLED,15.6,1080,1920,69051741.48129578
12,Intel,Corei7,1165G7,DDR4,16,0,0,Nvidia,4,GeForceMX450,lenovo,35900000,digikala,TN,15.6,1080,1920,38536720.500332996
