Processor Manufacturer,Processor Series,Processor Model,RAM Type,RAM Memory,Internal Memory Type SSD,Internal Memory Type HDD,Graphics Card Manufacturer,Dedicated Graphics Memory,Graphics Card Model,manufacturer,org_price,store,Screen Resolution,Screen Type,Screen Size
Intel,Corei7,1250U,DDR5,16,1024,0,Intel,4,Intel Iris Xe,asus,201999000,meghdad,2560*1920,FOLED,17.3
Intel,Corei5,1135G7,DDR4,32,512,1024,Nvidia,2,MX350 GDDR5,dell,34990000,meghdad,768 * 1366,HD,15.6
Intel,Corei5,1135G7,DDR4,16,512,1024,Nvidia,2,MX350 GDDR5,dell,32750000,meghdad,768 * 1366,HD,15.6
Intel,Corei5,11400H,DDR4,32,512,0,Nvidia,4,GeForce RTX3050,asus,45289000,meghdad,1080 * 1920 ,IPS,15.6
Apple,M2,M2 8 Cores,Unified,8,0,0,Apple,4,Integrated10Cores,apple,74490000,digikala,,IPS,
Intel,Corei5,1235U,DDR4,8,256,0,Nvidia,2,GeForce MX۵۵۰,lenovo,41000000,meghdad,1080 * 1920 ,IPS,14
Intel,Corei7,12700H,DDR5,16,0,0,Nvidia,4,GeForceRTX3060,asus,69982220,digikala,,IPS,
Intel,Corei7,12700H,DDR5,32,0,0,Nvidia,4,GeForceRTX3070GDDR6,lenovo,85800000,digikala,,IPS,
Intel,Corei7,1260P,DDR4,16,512,0,Nvidia,4,RTX 3050,acer,40800000,meghdad,1080 * 1920 ,IPS,15.6
Intel,Corei7,1355U,DDR4,16,0,0,Intel,4,IrisXe,msi,46225000,digikala,,IPS,
Intel,Corei7,11370H,DDR4,8,0,0,Nvidia,4,GeForceGTX1650,lenovo,40950000,digikala,,IPS,
Intel,Corei5,1235U,DDR4,8,0,0,Nvidia,4,GeForceMX550,lenovo,42195000,digikala,,IPS,
Intel,Corei5,12500H,DDR4,8,512,0,Nvidia,4,GeForce RTX3050,asus,45809000,meghdad,1080 * 1920 ,IPS,15.6
