,Year,Month,Total_Price_Adjusted
0,2011,11,2030753393.5608337
1,2011,12,17553975797.674805
2,2012,1,25263031880.32723
3,2012,2,25866048196.572285
4,2012,3,28646277209.819843
5,2012,4,27844842176.694897
6,2012,5,26445366159.47422
7,2012,6,28782452839.714287
8,2012,7,32526782854.940586
9,2012,8,35317129402.88949
10,2012,9,40326477073.247246
11,2012,10,57504509982.71545
12,2012,11,50484016141.3898
13,2012,12,56293076777.72831
14,2013,1,64522885059.27339
15,2013,2,64475025054.09555
16,2013,3,69157781740.6406
17,2013,4,67554714277.656815
18,2013,5,72074198095.17929
19,2013,6,68789277496.8907
20,2013,7,68676848281.591225
21,2013,8,67398733049.81882
22,2013,9,66556087628.07097
23,2013,10,69083026175.36858
24,2013,11,66185940510.51005
25,2013,12,67030833130.87317
26,2014,1,64993188030.39477
27,2014,2,60436808044.77383
28,2014,3,68345695961.01947
29,2014,4,71270103563.43427
30,2014,5,75929212885.51544
31,2014,6,73143434296.1434
32,2014,7,72255878547.75352
33,2014,8,74426628229.41914
34,2014,9,75438461529.01375
35,2014,10,78793581593.52318
36,2014,11,79775846086.221
37,2014,12,85871076979.3515
38,2015,1,83932520294.22061
39,2015,2,76149212615.79134
40,2015,3,81598623225.15341
41,2015,4,79546123928.77742
42,2015,5,80297199840.34227
43,2015,6,78461431664.10864
44,2015,7,82599011412.12677
45,2015,8,83605842863.29185
46,2015,9,82249247961.54
47,2015,10,87090098772.28432
48,2015,11,86281535814.08382
49,2015,12,90013080201.22586
50,2016,1,89944275755.82668
51,2016,2,84563319161.23692
52,2016,3,88796087138.7136
53,2016,4,90950874344.14613
54,2016,5,92863761300.88214
55,2016,6,88749079831.74
56,2016,7,94645621996.89386
57,2016,8,99203980772.00813
58,2016,9,95677892479.044
59,2016,10,100172038655.69852
60,2016,11,98227580282.94398
61,2016,12,109532514084.0924
62,2017,1,112778109548.48969
63,2017,2,100097050261.07152
64,2017,3,109275520319.338
65,2017,4,107399275486.21654
66,2017,5,110947305546.60632
67,2017,6,107094174648.05745
68,2017,7,115165951002.30412
69,2017,8,115458144015.82135
70,2017,9,115228950228.52141
71,2017,10,124962996366.0103
72,2017,11,122523715722.53131
73,2017,12,130251534056.61441
74,2018,1,140411215671.7789
75,2018,2,134669475655.71207
76,2018,3,158291870527.62195
77,2018,4,160415209648.50427
78,2018,5,209750148927.31213
79,2018,6,232681891120.36545
80,2018,7,291011716489.49133
81,2018,8,361584505974.48047
82,2018,9,445649790410.31165
83,2018,10,480174785997.47144
84,2018,11,446744665740.0477
85,2018,12,376007313025.12195
86,2019,1,514839165012.90356
87,2019,2,526713958574.4552
88,2019,3,626056970156.4326
89,2019,4,648467664906.2421
90,2019,5,723634114234.6227
91,2019,6,644620522771.0632
92,2019,7,630870428001.2771
93,2019,8,640180231050.1646
94,2019,9,605379266890.4846
95,2019,10,627162058705.2051
96,2019,11,651728991324.171
97,2019,12,738155071087.2103
98,2020,1,782640815628.7449
99,2020,2,796753617711.7626
100,2020,3,967017571173.8274
101,2020,4,932949469947.0214
102,2020,5,1039347428093.1423
103,2020,6,1158160065067.3115
104,2020,7,1431756504002.7766
105,2020,8,1549397967187.816
106,2020,9,1676150423753.252
107,2020,10,2057421011266.6575
108,2020,11,1803176916642.3997
109,2020,12,1880544437431.6746
110,2021,1,2072490036700.5618
111,2021,2,1947513820250.9358
112,2021,3,2159060130421.0344
113,2021,4,2177902589023.3137
114,2021,5,2134354760519.388
115,2021,6,2279971755658.0874
116,2021,7,2470883264181.0356
117,2021,8,2694710695742.7334
118,2021,9,2727062430678.3706
119,2021,10,2915010234637.8877
120,2021,11,2976770167327.451
121,2021,12,3029435719669.6245
122,2022,1,2713471406587.8506
123,2022,2,2456609963715.074
124,2022,3,2714013082216.9067
125,2022,4,2731779812735.7217
126,2022,5,2727135305051.4814
127,2022,6,2656297603397.4746
128,2022,7,2806540733893.9175
129,2022,8,2790311960051.95
130,2022,9,3347873198843.1934
131,2022,10,3642863682546.606
132,2022,11,3906612166735.4937
133,2022,12,4249473715012.154
134,2023,1,7575003231125.572
135,2023,2,7496769575721.86
136,2023,3,9471121924569.34
137,2023,4,9846445118805.557
138,2023,5,10763489284106.617
139,2023,6,10213437096294.281
140,2023,7,10783386922297.639
141,2023,8,11190164922976.717
142,2023,9,11048882417205.396
