,Year,Month,Quantity
2,2012,1,7955
3,2012,2,7290
4,2012,3,7968
5,2012,4,7862
6,2012,5,8009
7,2012,6,7799
8,2012,7,8155
9,2012,8,7959
10,2012,9,7802
11,2012,10,7954
12,2012,11,7638
13,2012,12,8084
14,2013,1,8103
15,2013,2,7139
16,2013,3,8242
17,2013,4,7653
18,2013,5,8031
19,2013,6,7697
20,2013,7,8045
21,2013,8,7917
22,2013,9,7814
23,2013,10,8198
24,2013,11,7872
25,2013,12,8018
26,2014,1,8019
27,2014,2,7368
28,2014,3,8086
29,2014,4,7970
30,2014,5,8093
31,2014,6,7797
32,2014,7,7900
33,2014,8,8074
34,2014,9,7897
35,2014,10,7997
36,2014,11,7934
37,2014,12,8002
38,2015,1,8153
39,2015,2,7362
40,2015,3,8061
41,2015,4,7910
42,2015,5,7938
43,2015,6,7750
44,2015,7,8130
45,2015,8,7965
46,2015,9,7678
47,2015,10,7995
48,2015,11,7715
49,2015,12,8128
50,2016,1,7946
51,2016,2,7470
52,2016,3,7903
53,2016,4,7921
54,2016,5,8054
55,2016,6,7671
56,2016,7,8017
57,2016,8,8177
58,2016,9,7837
59,2016,10,8149
60,2016,11,7787
61,2016,12,8002
62,2017,1,8027
63,2017,2,7285
64,2017,3,7981
65,2017,4,7828
66,2017,5,8035
67,2017,6,7741
68,2017,7,8208
69,2017,8,8029
70,2017,9,7795
71,2017,10,8189
72,2017,11,7775
73,2017,12,7960
74,2018,1,7917
75,2018,2,7201
76,2018,3,8028
77,2018,4,7605
78,2018,5,7992
79,2018,6,7767
80,2018,7,7985
81,2018,8,8115
82,2018,9,7796
83,2018,10,8084
84,2018,11,7906
85,2018,12,8041
86,2019,1,7987
87,2019,2,7354
88,2019,3,8035
89,2019,4,7792
90,2019,5,8065
91,2019,6,7741
92,2019,7,7843
93,2019,8,8267
94,2019,9,7841
95,2019,10,7990
96,2019,11,7940
97,2019,12,8042
98,2020,1,8037
99,2020,2,7444
100,2020,3,8035
101,2020,4,7621
102,2020,5,7839
103,2020,6,7841
104,2020,7,8098
105,2020,8,8148
106,2020,9,7724
107,2020,10,7982
108,2020,11,7883
109,2020,12,8054
110,2021,1,8001
111,2021,2,7287
112,2021,3,7940
113,2021,4,7853
114,2021,5,8193
115,2021,6,7875
116,2021,7,8027
117,2021,8,7976
118,2021,9,7731
119,2021,10,8009
120,2021,11,7913
121,2021,12,8077
122,2022,1,7959
123,2022,2,7330
124,2022,3,8159
125,2022,4,7658
126,2022,5,7960
127,2022,6,7878
128,2022,7,8107
129,2022,8,7976
130,2022,9,7875
131,2022,10,8070
132,2022,11,7990
133,2022,12,7964
134,2023,1,8130
135,2023,2,7378
136,2023,3,7959
137,2023,4,7676
138,2023,5,8035
139,2023,6,7769
140,2023,7,7952
141,2023,8,7959
142,2023,9,7623
