,actual,Predicted
3903,648090000,687043897.343061
3904,636860000,689363793.3576698
3905,644510000,680627532.766738
3906,738540000,689702639.5435091
3907,735680000,687826169.4198653
3908,716270000,682093394.9878032
3909,664580000,691564130.4678794
3910,705590000,686320210.8381897
3911,607540000,684287496.4114761
3912,605180000,692512734.3972093
3913,664040000,685220186.7502346
3914,609740000,686867510.411607
3915,599590000,692603378.8251376
3916,786350000,684788708.6943797
3917,699990000,689462402.9307925
3918,688760000,692033143.3873147
3919,671760000,685143740.4427229
3920,686900000,691739727.1913918
3921,638050000,691091438.1866126
3922,696220000,686254260.7760345
3923,596550000,693458786.1101876
3924,565540000,690099755.1420045
3925,681770000,687962150.2044193
3926,761580000,694502044.2560022
3927,598080000,689352559.2526641
3928,704630000,690023610.8970311
3929,713100000,694881774.4767859
3930,821840000,689069406.6115967
3931,806540000,692160796.1699967
3932,734640000,694723537.9099976
3933,840280000,689365317.2414458
3934,745890000,694113596.0471445
3935,696360000,694231921.6622096
3936,756460000,690242496.9991927
3937,737470000,695682613.654839
3938,807820000,693646422.4006956
3939,777830000,691602470.6936092
3940,925890000,696756883.8278486
3941,760750000,693196191.74044
3942,786260000,693274265.7803767
3943,801640000,697323237.0003332
3944,986290000,693061589.141602
3945,750530000,695051996.3688853
3946,967670000,697457726.4675237
3947,823400000,693348430.3728147
3948,1002940000,696734310.7147375
3949,803720000,697302589.9613365
3950,834320000,694077972.802785
3951,761220000,698158679.4298549
3952,902800000,697034330.9555945
3953,800200000,695192622.2853298
3954,896980000,699225172.1268612
3955,886400000,696829419.9414345
3956,848130000,696574631.5895492
3957,861360000,699906780.2060397
3958,794710000,696833806.0947247
3959,825680000,698073118.3822696
3960,886370000,700245994.5417718
3961,764340000,697141084.675278
3962,905190000,699533811.5060865
3963,836330000,700339754.1214734
3964,872640000,697782132.40624
3965,779610000,700826083.1070596
3966,877890000,700316656.3206557
3967,833050000,698726729.5947245
3968,711600000,701862896.8591363
3969,782010000,700311225.0082906
3970,696780000,699895559.0439837
3971,895980000,702611011.2746525
3972,861790000,700440009.0156186
3973,863090000,701179357.4105669
3974,892090000,703090756.0758
3975,841900000,700783437.8284891
3976,951100000,702461116.4736226
3977,847040000,703366576.9081287
3978,764720000,701375930.9847183
3979,800840000,703637159.8813915
3980,908580000,703531006.2070105
3981,859490000,702205054.5863967
3982,987150000,704633578.3062569
3983,817700000,703685559.0842083
3984,961970000,703218867.092293
3985,930120000,705415698.0930327
3986,985370000,703922196.2987099
3987,901210000,704339276.7038065
3988,877830000,705989720.1127492
3989,799840000,704308494.3832799
3990,925160000,705478435.4930893
3991,928030000,706397114.1919664
3992,856200000,704878674.1237701
3993,847880000,706555000.7038836
3994,925580000,706703541.3035983
3995,1009970000,705631387.7066648
3996,929440000,707507468.2009616
3997,948710000,706984824.6573662
3998,1015200000,706533897.1629597
3999,931160000,708302598.9885446
4000,830870000,707312721.0777605
4001,982870000,707531213.1487445
4002,981000000,708938027.1126791
4003,833440000,707742973.359033
4004,1008210000,708558064.7496301
4005,964760000,709439243.7813458
4006,950820000,708307454.982965
4007,974190000,709551318.0297601
4008,895420000,709852102.6458812
4009,1021460000,709011310.5401684
4010,961430000,710460647.7701969
4011,1083080000,710232638.0706393
4012,1007960000,709835031.7919432
4013,957350000,711255812.2182804
4014,891020000,710636253.7373387
4015,881690000,710740563.1526958
4016,1016720000,711929650.679836
4017,974490000,711108219.5116113
4018,841920000,711679934.6625016
4019,1022180000,712496760.46313
4020,922650000,711676973.476545
4021,897510000,712604650.4056273
4022,1103910000,712988561.0642219
4023,1081940000,712351075.2898557
4024,875310000,713474126.3683237
4025,1001820000,713445999.199997
4026,930020000,713119932.2536904
4027,985950000,714261825.2188461
4028,877310000,713911416.8682946
4029,897370000,713957754.140961
4030,956920000,714958283.4691343
4031,995990000,714421080.3809572
4032,908170000,714829695.2716103
4033,1003010000,715570852.6830604
4034,924080000,714999587.9431008
4035,908760000,715698879.9339324
4036,899650000,716120563.951996
4037,903380000,715656913.6984531
4038,1027340000,716532999.2543259
