,Product_id,manufacturer,Device Type,Status,Warranty_id,Warranty_price,org_price,last_month_price,Color,Weight,Processor Manufacturer,Processor Series,Processor Model,Processor Cache Memory,RAM Memory,Screen Size,Screen Type,Optical Drive,RAM Type,Internal Memory Type,Operating System,Graphics Card Manufacturer,Graphics Card Model,Battery Cell Count
0,5695558,اچ‌ پی,OMEN,out_of_stock,,,,0,,2.3,Intel,Corei7,10750H,12,32,15.6,,بدون درایو نوری,DDR4,SSD,Microsoft Windows 10,NVIDIA,GeForceGTX1650tiGDDR6,شش سلولی
1,5695586,اچ‌ پی,OMEN,out_of_stock,,,,0,,2.3,Intel,Corei7,10750H,12,16,15.6,,بدون درایو نوری,DDR4,SSD,Microsoft Windows 10,NVIDIA,GeForceGTX1650tiGDDR6,شش سلولی
2,5718192,دل,Vostro,out_of_stock,,,,0,,2.2,Intel,Corei7,1165G7,12,16,15.6,,بدون درایو نوری,DDR4,SSD,,NVIDIA,GeForceMX330GDDR5,سه سلولی
3,5714125,اچ‌ پی,C,out_of_stock,,,,0,,1.7,Intel,Corei3,1005G1,4,8,15.6,WLED Backlit,بدون درایو نوری,DDR4,حافظه‌های هیبریدی,بدون سیستم عامل,NVIDIA,GeForceMX130GDDR5,سه سلولی
4,4893467,دل,Gaming,out_of_stock,,,,0,,2.56,Intel,Corei7,10750H,12,16,15.6,,بدون درایو نوری,DDR4,حافظه‌های هیبریدی,,NVIDIA,GeForceGTX1650GDDR6,سه سلولی
5,4825462,اچ‌ پی,ENVY,out_of_stock,,,,0,,1.9,Intel,Corei7,10510U,8,16,15.6,WLED Backlit,بدون درایو نوری,DDR4,SSD,بدون سیستم عامل,NVIDIA,GeForceMX330GDDR5,سه سلولی
6,4929105,دل,Vostro,out_of_stock,,,,0,,1.84,Intel,Corei7,1165g7,12,16,15.6,TFT LED-backlit LCD,بدون درایو نوری,DDR4,حافظه‌های هیبریدی,بدون سیستم عامل,NVIDIA,GeForceMX330GDDR5,سه سلولی
7,5023562,دل,XPS,out_of_stock,,,,0,,1.32,Intel,Corei7,1065G7,8,8,,,بدون درایو نوری,DDR4,SSD,Microsoft Windows 10,Intel,IntelIrisPlusGraphicsG7,چهار سلولی
8,4678192,ایسوس,,out_of_stock,,,,0,,2.0,Intel,Pentium,N5030/BGA,4,4,15.6,,بدون درایو نوری,DDR4,هارددیسک,بدون سیستم عامل,Intel,UHDGraphics620,دو سلولی
9,4668230,دل,Insprion,out_of_stock,,,,0,,2.34,Intel,Corei7,10750H,12,32,15.6,IPS LED-backlit LCD,بدون درایو نوری,DDR4,SSD,Microsoft Windows 10,NVIDIA,GeForceGTX1660TiGDDR6,چهار سلولی
